Наименование;Цена;Ед.;Артикул
    Трубка тормозная Медная 12х12 202 см ПАЗ 3205 от ГТЦ до тройника задн тормозов;511,00 руб.;шт;395844
    Турбокомпрессор ПАЗ Вектор 5343-30  Е-5 Чехия (С13-297-001) ;37 124,00 руб.;шт;395845
    Тяга переключения КПП с наконечником (кулиса) ПАЗ;3 360,00 руб.;шт;395846
    Тяга рул ПАЗ прод 1 изгиб Канашский мост;4 845,00 руб.;шт;395847
    Тяга рычага валика акселератора ПАЗ 3205;93,00 руб.;шт;395848
    Уплотнитель арки боковины ПАЗ (кант);155,00 руб.;шт;395849
    Уплотнитель двери пассажирской ПАЗ (к-т 8 шт) СЗРТ;1 766,00 руб.;компл;395850
    Утеплитель облицовки радиатора ПАЗ (к-т 4);975,00 руб.;шт;395851
    Фонарь габ боков ПАЗ Вектор, Лиаз желт светод (сквозн отв) (еврофишка) ;317,00 руб.;шт;395852
    Фонарь ПАЗ 3205 бол белый (117)  (105х85) заднего хода;85,00 руб.;шт;395853
    Фонарь ПАЗ 3205 бол желт (105х85) поворотник;85,00 руб.;шт;395854
    Фонарь ПАЗ 3205 бол красн (105х85) задн стоп;85,00 руб.;шт;395855
    Фонарь ПАЗ 3205 мал белый (ПФ-116) (105х55) передн габар;89,00 руб.;шт;395856
    Фонарь ПАЗ 3205 мал красн (116) (105х55) задн габарит;89,00 руб.;шт;395857
    Цилиндр силовой ГУР ПАЗ (ЦГ50-250) с шаровым пальцем;15 565,00 руб.;шт;395858
    Цилиндр сцепления главный ПАЗ 3205 с бачком (разворот М-408);1 350,00 руб.;шт;395859
    Цилиндр сцепления главный ПАЗ 4230 AGIS;5 037,00 руб.;шт;395860
    Цилиндр торм главн ПАЗ;3 612,00 руб.;шт;395861
    Цилиндр торм рабоч ПАЗ-3205 (саморазвод);3 190,00 руб.;шт;395862
    Шайба корректирующей пружины ПАЗ;52,00 руб.;шт;395863
    Шайба регулир шкворня ПАЗ;38,00 руб.;шт;395864
    Шкворень ПАЗ 3205 голый (1 шт);675,00 руб.;шт;395865
    Шланг воздушного фильтра ПАЗ 245 дв. угол (ф62хф50);416,00 руб.;шт;395866
    Шланг воздушного фильтра ПАЗ 245 дв. угол (ф62хф62);501,00 руб.;шт;395867
    Шланг ГУР ПАЗ нагнетат длинн (98 см гайка- гайка М16х1,5);458,00 руб.;шт;395868
    Шланг ГУР ПАЗ нагнетат коротк (длина 64 см гайка- гайка М16х1,5);395,00 руб.;шт;395869
    Шланг ГУР ПАЗ нагнетат средн (80 см гайка- гайка М16х1,5);427,00 руб.;шт;395870
    Шланг тормозной Камаз-6520 г/шт (мет в оплетке);280,00 руб.;шт;395871
    Шланг тормозной ПАЗ задн (пневмотормоз) 480 мм;263,00 руб.;шт;395872
    Шланг тормозной ПАЗ пер (46 см);224,00 руб.;шт;395873
    Шланг тормозной ПАЗ передн (пневмотормоз) 630 мм;278,00 руб.;шт;395874
    Шпилька колеса ПАЗ (болт с головк) Земляк с шейкой М20х1,5 дл 90 мм 3206 Правая (длина резьбы 30 мм;407,00 руб.;шт;395875
    Шпилька колеса ПАЗ (болт с головк) М20х1,5 дл 105 мм 4234,320412-3, КААЗ 8-ми шпилеч (длин резьб 56);266,00 руб.;шт;395876
    Шпилька колеса ПАЗ (болт с головк) М20х1,5 дл 95 мм 320402-03 (пневмоподв) (длина резьбы 50 мм);256,00 руб.;шт;395877
    Шпилька колеса ПАЗ (резьба с 2-х сторон) М20х1,5 длина 105 мм 320402-03 (рессорн) ;274,00 руб.;шт;395878
    Шпилька колеса ПАЗ (резьба с 2-х сторон) М20х1,5 длина 115 мм 320402(колодка 160 мм) ;258,00 руб.;шт;395879
    Шпилька колеса ПАЗ ЗИЛ передн М20х1,5х86 (болт с головкой) !!!;60,00 руб.;шт;395880
    Шпилька колеса ПАЗ ЗиЛ универс (РЗАА) (м 20х1,5 длина 102 мм) (резьба с 2-х сторон) !!!;109,00 руб.;шт;395881
    Штифт шкворня ПАЗ;70,00 руб.;шт;395882
    Штуцер компрессора ПАЗ угловой;385,00 руб.;шт;395883
    Штуцер маслопровода 240 дв;124,00 руб.;шт;395884
    Штуцер поворотный гидроцил.ПАЗ;366,00 руб.;шт;395885
    Щетка стеклооч ПАЗ Вектор 900мм;763,00 руб.;шт;395886
    Щетка стеклооч ПАЗ Н/О 700 мм (простая);414,00 руб.;шт;395887
    Щетка стеклооч ПАЗ С/О 510 мм ЛИАЗ левая;95,00 руб.;шт;395888
    Щетка стеклооч ПАЗ С/О 510 мм ЛИАЗ правая;95,00 руб.;шт;395889
"    Эмблема боковая ПАЗ 3205 ""3""!!!!";21,00 руб.;шт;395890
